Week,Team,Average Triage Time (Hours)
2026-W15,AI2,83.6
2026-W15,AI3,61.8
2026-W15,AI4,29.2
2026-W15,AI5,79.2
2026-W15,AI6,67.8
2026-W15,Process 1,59.6
2026-W15,Process 2,56.5
2026-W15,Process 3,21.9
2026-W15,Enterprise Architecture,81.2
2026-W15,Intelligent Feature Adoption,81
2026-W15,License Request/Grants,68.7
2026-W15,New Enterprise User,69.8
2026-W15,Growth,65
2026-W15,Planning 1,33.9
2026-W15,Planning 2,21.7
2026-W15,Cloud 1,57.3
2026-W15,Cloud 2,28.2
2026-W15,Intelligent Interface 1,58
2026-W15,Intelligent Interface 2,39.4
2026-W15,Intelligent Interface 3,81.6
2026-W15,Intelligent Interface 4,28
2026-W15,UFO,74.1
2026-W15,Papercuts,29.2
2026-W15,Core Support,81.1
2026-W15,Change Management,38.2
2026-W15,Templates,70.7
2026-W15,Accelerator Platform 1,59.9
2026-W15,Accelerator Platform 2,39.9
2026-W16,DC1,83.5
2026-W16,DC2,49.7
2026-W16,DC3,74.8
2026-W16,AI1,45.4
2026-W16,AI2,55.4
2026-W16,AI3,21.9
2026-W16,AI4,80.1
2026-W16,AI5,84.3
2026-W16,AI6,21.3
2026-W16,Process 1,49.1
2026-W16,Process 2,20.6
2026-W16,Process 3,44.6
2026-W16,Enterprise Architecture,20.5
2026-W16,Intelligent Feature Adoption,39.9
2026-W16,License Request/Grants,60.8
2026-W16,New Enterprise User,40.5
2026-W16,Growth,49.3
2026-W16,Planning 1,55.8
2026-W16,Planning 2,42.2
2026-W16,Cloud 1,72.3
2026-W16,Cloud 2,33.8
2026-W16,Intelligent Interface 1,36.7
2026-W16,Intelligent Interface 2,43.7
2026-W16,Intelligent Interface 3,22.4
2026-W16,Intelligent Interface 4,72.1
2026-W16,UFO,33.6
2026-W16,Papercuts,48.3
2026-W16,Core Support,84
2026-W16,Change Management,67.7
2026-W16,Templates,20.2
2026-W16,Accelerator Platform 1,58.5
2026-W16,Accelerator Platform 2,26.6
2026-W17,DC1,23
2026-W17,DC2,20.9
2026-W17,DC3,57.3
2026-W17,AI1,32.9
2026-W17,AI2,48.8
2026-W17,AI3,35.5
2026-W17,AI4,43.2
2026-W17,AI5,21.4
2026-W17,AI6,50
2026-W17,Process 1,70.7
2026-W17,Process 2,67.5
2026-W17,Process 3,43.7
2026-W17,Enterprise Architecture,60.2
2026-W17,Intelligent Feature Adoption,59.4
2026-W17,License Request/Grants,48.3
2026-W17,New Enterprise User,38
2026-W17,Growth,56.6
2026-W17,Planning 1,58.3
2026-W17,Planning 2,58.2
2026-W17,Cloud 1,56.7
2026-W17,Cloud 2,60.4
2026-W17,Intelligent Interface 1,40.2
2026-W17,Intelligent Interface 2,23
2026-W17,Intelligent Interface 3,21.8
2026-W17,Intelligent Interface 4,32
2026-W17,UFO,33.7
2026-W17,Papercuts,27.3
2026-W17,Core Support,81.9
2026-W17,Change Management,46
2026-W17,Templates,72.1
2026-W17,Accelerator Platform 1,23.9
2026-W17,Accelerator Platform 2,71.8
2026-W18,DC1,65.5
2026-W18,DC2,49.8
2026-W18,DC3,45.7
2026-W18,AI1,84.3
2026-W18,AI2,75.3
2026-W18,AI3,67
2026-W18,AI4,78.6
2026-W18,AI5,20.5
2026-W18,AI6,70.4
2026-W18,Process 1,84.7
2026-W18,Process 2,82.1
2026-W18,Process 3,63.3
2026-W18,Enterprise Architecture,38.5
2026-W18,Intelligent Feature Adoption,61.9
2026-W18,License Request/Grants,54.9
2026-W18,New Enterprise User,63.2
2026-W18,Growth,20.2
2026-W18,Planning 1,55.5
2026-W18,Planning 2,30.3
2026-W18,Cloud 1,57.6
2026-W18,Cloud 2,26.7
2026-W18,Intelligent Interface 1,76
2026-W18,Intelligent Interface 2,55.1
2026-W18,Intelligent Interface 3,42.5
2026-W18,Intelligent Interface 4,30.4
2026-W18,UFO,29
2026-W18,Papercuts,51.4
2026-W18,Core Support,31.7
2026-W18,Change Management,51
2026-W18,Templates,60.4
2026-W18,Accelerator Platform 1,63.3
2026-W18,Accelerator Platform 2,36.4
2026-W19,DC1,42
2026-W19,DC2,31.8
2026-W19,DC3,80
2026-W19,AI1,81.8
2026-W19,AI2,26.5
2026-W19,AI3,55.9
2026-W19,AI4,80.3
2026-W19,AI5,24.4
2026-W19,AI6,53.1
2026-W19,Process 1,58.4
2026-W19,Process 2,22.8
2026-W19,Process 3,55.6
2026-W19,Enterprise Architecture,66.6
2026-W19,Intelligent Feature Adoption,32.7
2026-W19,License Request/Grants,65.3
2026-W19,New Enterprise User,70.2
2026-W19,Growth,60.9
2026-W19,Planning 1,58.3
2026-W19,Planning 2,39.6
2026-W19,Cloud 1,82.8
2026-W19,Cloud 2,58.8
2026-W19,Intelligent Interface 1,35
2026-W19,Intelligent Interface 2,55.7
2026-W19,Intelligent Interface 3,61.8
2026-W19,Intelligent Interface 4,80.4
2026-W19,UFO,35.8
2026-W19,Papercuts,48.3
2026-W19,Core Support,81.2
2026-W19,Change Management,37.3
2026-W19,Templates,60.2
2026-W19,Accelerator Platform 1,39.7
2026-W19,Accelerator Platform 2,74
